year,revenue,cost_of_goods_sold,operating_expenses,profit,total_assets,shareholder_equity,customer_satisfaction,employee_turnover
2004,381325.06,215264.59,56101.45,109959.02,725164.21,327968.91,8.28,7.37
2005,458891.33,237447.19,67886.9,153557.24,979311.16,440987.01,7.43,11.06
2006,426773.56,242874.18,75998.32,107901.06,1007908.07,513689.46,7.59,7.97
2007,465654.9,250835.97,89298.09,125520.84,1032644.63,495661.97,8.34,6.17
2008,488093.55,289767.96,93209.72,105115.87,1045514.3,512713.29,8.17,10.52
2009,494922.02,254267.22,90268.85,150385.95,919716.51,468281.51,8.53,7.24
2010,579616.17,309576.84,99324.49,170714.84,1257189.99,663797.66,8.18,12.58
2011,607057.41,310417.2,76933.11,219707.1,1453315.05,606902.96,8.02,12.68
2012,646301.06,382913.58,85912.99,177474.49,1217663.78,517649.07,7.17,12.4
2013,649770.22,381892.01,124680.73,143197.48,1371663.5,505864.54,7.66,8.59
2014,744173.71,391282.19,125403.93,227487.59,1731263.46,806173.27,7.48,6.11
2015,728836.81,412520.47,87996.67,228319.67,1635845.92,584305.28,7.44,12.5
2016,821967.43,478156.72,105308.6,238502.11,1823295.92,807938.17,8.75,9.0
2017,909835.27,505431.76,157474.42,246929.09,2021190.36,926774.25,7.71,12.77
2018,895860.39,495379.49,107866.0,292614.9,1805781.03,735509.51,8.61,12.75
2019,964841.03,505755.42,128193.26,330892.35,1906675.53,892641.9,8.14,11.97
2020,1043016.39,531218.97,170949.03,340848.39,2383935.67,848919.61,8.43,8.06
2021,1097401.15,647161.14,192431.06,257808.95,2508733.69,896796.12,7.9,8.7
2022,1146414.07,676432.23,197363.09,272618.75,2659959.67,1368602.75,8.04,11.96
2023,1258771.41,709078.71,173636.87,376055.83,2955525.2,1247344.32,7.89,8.22
